assetPath	bundleId	logicalName	aliasName	declaredBytes	dependencies	group	tableFragment	fragmentEntry	offset	spanBytes	identity	confidence	evidenceFiles
Assets/Main/Sprites/ItemIcons/7tianle_jifen_icon.png	0	gameres_dynamic_atlas_sprites_itemicons_39_42e108b826a84451df9bb93172e62d1d.bundle	0c9de48b02a25bb8fe4ba8ed8664c91b863e6e2dfe9a74613bd926151e7741f8.bundle	71761		0	BundleFragment0.bytes	assets/AssetBundles/BundleFragment0.bytes	262866633	71761	alias	100	
Assets/Main/Sprites/ItemIcons/FX_icon_ganenjie_touxiangkuang.png	0	gameres_dynamic_atlas_sprites_itemicons_39_42e108b826a84451df9bb93172e62d1d.bundle	0c9de48b02a25bb8fe4ba8ed8664c91b863e6e2dfe9a74613bd926151e7741f8.bundle	71761		0	BundleFragment0.bytes	assets/AssetBundles/BundleFragment0.bytes	262866633	71761	alias	100	
Assets/Main/Sprites/ItemIcons/item006.png	0	gameres_dynamic_atlas_sprites_itemicons_39_42e108b826a84451df9bb93172e62d1d.bundle	0c9de48b02a25bb8fe4ba8ed8664c91b863e6e2dfe9a74613bd926151e7741f8.bundle	71761		0	BundleFragment0.bytes	assets/AssetBundles/BundleFragment0.bytes	262866633	71761	alias	100	
Assets/Main/Sprites/ItemIcons/item_icon_653045.png	0	gameres_dynamic_atlas_sprites_itemicons_39_42e108b826a84451df9bb93172e62d1d.bundle	0c9de48b02a25bb8fe4ba8ed8664c91b863e6e2dfe9a74613bd926151e7741f8.bundle	71761		0	BundleFragment0.bytes	assets/AssetBundles/BundleFragment0.bytes	262866633	71761	alias	100	
Assets/Main/Sprites/ItemIcons/item_icon_710071.png	0	gameres_dynamic_atlas_sprites_itemicons_39_42e108b826a84451df9bb93172e62d1d.bundle	0c9de48b02a25bb8fe4ba8ed8664c91b863e6e2dfe9a74613bd926151e7741f8.bundle	71761		0	BundleFragment0.bytes	assets/AssetBundles/BundleFragment0.bytes	262866633	71761	alias	100	
Assets/Main/Sprites/ItemIcons/ljq_qipaotubiao_s3_zhufuzhiquan.png	0	gameres_dynamic_atlas_sprites_itemicons_39_42e108b826a84451df9bb93172e62d1d.bundle	0c9de48b02a25bb8fe4ba8ed8664c91b863e6e2dfe9a74613bd926151e7741f8.bundle	71761		0	BundleFragment0.bytes	assets/AssetBundles/BundleFragment0.bytes	262866633	71761	alias	100	
Assets/Main/Sprites/ItemIcons/lrb_danbainongchang_qipaoicon.png	0	gameres_dynamic_atlas_sprites_itemicons_39_42e108b826a84451df9bb93172e62d1d.bundle	0c9de48b02a25bb8fe4ba8ed8664c91b863e6e2dfe9a74613bd926151e7741f8.bundle	71761		0	BundleFragment0.bytes	assets/AssetBundles/BundleFragment0.bytes	262866633	71761	alias	100	
Assets/Main/Sprites/ItemIcons/lrb_icon_zixuansuipian04.png	0	gameres_dynamic_atlas_sprites_itemicons_39_42e108b826a84451df9bb93172e62d1d.bundle	0c9de48b02a25bb8fe4ba8ed8664c91b863e6e2dfe9a74613bd926151e7741f8.bundle	71761		0	BundleFragment0.bytes	assets/AssetBundles/BundleFragment0.bytes	262866633	71761	alias	100	
Assets/Main/Sprites/ItemIcons/manyuejiepifu_xuancai_02.png	0	gameres_dynamic_atlas_sprites_itemicons_39_42e108b826a84451df9bb93172e62d1d.bundle	0c9de48b02a25bb8fe4ba8ed8664c91b863e6e2dfe9a74613bd926151e7741f8.bundle	71761		0	BundleFragment0.bytes	assets/AssetBundles/BundleFragment0.bytes	262866633	71761	alias	100	
Assets/Main/Sprites/ItemIcons/wxy_25wanshengjie_paokujiangbei03_icon.png	0	gameres_dynamic_atlas_sprites_itemicons_39_42e108b826a84451df9bb93172e62d1d.bundle	0c9de48b02a25bb8fe4ba8ed8664c91b863e6e2dfe9a74613bd926151e7741f8.bundle	71761		0	BundleFragment0.bytes	assets/AssetBundles/BundleFragment0.bytes	262866633	71761	alias	100	
